occurred_at,source,source_id,name,icon,meal,quantity,units,calories,fat,protein,carbs,saturated_fat,sugars,fibre,cholesterol,sodium
"2019-09-24 00:00:00",loseit,,"Hot Dog with Bun",Hotdog,lunch,1,Serving,260,7.5,9,22,2,2,1,35,560
"2019-09-24 00:00:00",loseit,,Chips,Default,lunch,1,Serving,180,,,,,,,,
"2019-09-24 00:00:00",loseit,,"Sugar Ring Donut",Donut,lunch,1,Serving,221,13,3.1,23,5.9,8.3,,,
"2019-09-24 00:00:00",loseit,,"Coca Cola Light",CocaCola,lunch,200,Milliliters,1,0,0,0,0,0,0,0,60
"2019-09-24 00:00:00",loseit,,"Latte, Caramel, Lite, Medium",Latte,breakfast,1,Each,110,0,9,18,0,15,0,5,125
"2019-09-24 00:00:00",loseit,,"Cereal, Coco Pops",Cereal,breakfast,30,Grams,117,0.8,1.7,26,0.3,11,0.6,,0.23
"2019-09-24 00:00:00",loseit,,"Semi Skimmed Milk",Milk,breakfast,250,Milliliters,70,1.8,3.6,4.8,1.1,4.8,0,,
"2019-09-24 00:00:00",loseit,,"Irn Bru",Juice,snacks,330,Milliliters,138,0,0,35,0,35,0,0,8
"2019-09-24 00:00:00",loseit,,Aldi,Fish,snacks,1,Serving,109,,,,,,,,
"2019-09-24 00:00:00",loseit,,"Chicken Kiev",Chicken,dinner,1,Piece,398,30.5,14.64,14.64,12.8,0.85,2.32,,1.22
"2019-09-24 00:00:00",loseit,,"Tomato Ketchup",Ketchup,dinner,50,Grams,54,0.5,0.65,11.5,0.2,11.5,0.6,,
"2019-09-24 00:00:00",loseit,,"Baby New Potatoes",Potato,dinner,3,Pieces,160,0.1,0.5,5.2,,,,,
"2019-09-24 00:00:00",loseit,,"Garden Peas (Frozen)",Peas,dinner,25,Grams,30,0.9,5.9,9,0.2,2.6,5.5,,0
"2019-09-24 00:00:00",loseit,,"Sweetcorn Kernels, Canned in Water, Drained",Corn,dinner,0.5,"Dry Cup",52,1.54,3.8,7.7,0,2.31,3.85,0,0
"2019-09-24 00:00:00",loseit,,"Juice, Apple",Cider,snacks,200,Milliliters,62,0,0,14,0,14,0,0,12
"2019-09-25 00:00:00",loseit,,"Latte, Caramel, Lite, Medium",Latte,breakfast,1,Each,110,0,9,18,0,15,0,5,125
"2019-09-25 00:00:00",loseit,,"Kingsmill Bread 50 / 50",WhiteBread,breakfast,2,Slices,186,0.7,3.7,17,0.1,1.4,2,,390
"2019-09-25 00:00:00",loseit,,"Clover Spread 500g",Butter,breakfast,2,Teaspoons,75,65.1,,,10.4,,,,
"2019-09-25 00:00:00",loseit,,"Can Of Coke",CocaCola,snacks,12,Ounces,140,0,0,39,0,39,0,0,45
