occurred_at,ends_at,all_day,type,name,organiser,venue_name,city,country,latitude,longitude,url,description,timezone,meta
2010-12-30 15:30:00,2010-12-30 17:30:00,0,theatre,The Invisible Man,,"Menier Chocolate Factory, 4 O'Meara Street, London, GB SE1 1TE",London,United Kingdom,51.504518,-0.094327,,,Europe/London,"{""place_id"": ""ChIJ3TUCCagEdkgRsUc9IZZheiU"", ""address"": ""Menier Chocolate Factory, 4 O'Meara Street, London, GB SE1 1TE, 4 O'Meara St, London SE1 1TE, UK""}"
2011-05-12 19:30:00,2011-05-12 22:00:00,0,musical,Shrek the Musical,,Theatre Royal Drury Lane,London,United Kingdom,51.512889,-0.120167,,Just met Amanda Holden at Stage Door,Europe/London,"{""address"": ""Theatre Royal Drury Lane, Catherine St, London WC2B 5JF, UK""}"
2011-06-18 19:30:00,2011-06-18 22:45:00,0,theatre,War Horse,National Theatre,New Wimbledon Theatre,London,United Kingdom,51.419216,-0.201481,https://www.warhorseonstage.com/,,Europe/London,"{""place_id"": ""ChIJEecYmLoIdkgRvKK6LWhb3dc"", ""address"": ""New Wimbledon Theatre, 93 The Broadway, London SW19 1QG, UK""}"
2012-03-15 19:30:00,2012-03-15 21:30:00,0,show,The Houdini Experience starring Hans Klok and Company,,Peacock Theatre,London,United Kingdom,51.514700,-0.117000,,,Europe/London,"{""address"": ""Peacock Theatre, Portugal St, London WC2A 2HT, UK""}"
2012-04-21 19:30:00,2012-04-21 21:30:00,0,musical,Matilda the Musical,Royal Shakespeare Company,Cambridge Theatre,London,United Kingdom,51.513665,-0.126629,https://uk.matildathemusical.com/,,Europe/London,"{""place_id"": ""ChIJ059kIs0EdkgRAbuyqaAavxU"", ""address"": ""Cambridge Theatre, Earlham St, London WC2H 9HU, UK""}"
2013-01-12 19:30:00,2013-01-12 22:30:00,0,musical,Wicked,,Apollo Victoria Theatre,London,United Kingdom,51.495745,-0.142734,https://www.wickedthemusical.co.uk/,,Europe/London,"{""place_id"": ""ChIJm9UxPyAFdkgRW0jjQm-y4_s"", ""address"": ""Apollo Victoria Theatre, 17 Wilton Rd, Pimlico, London SW1V 1LG, UK""}"
2013-02-22 09:00:00,2013-02-24 17:00:00,0,convention,Blackpool Magic Convention,,Winter Gardens,Blackpool,United Kingdom,53.816654,-3.051653,https://www.blackpoolmagicconvention.com/,,Europe/London,"{""place_id"": ""ChIJxa3ldnBEe0gRicxwQYAABuQ"", ""address"": ""Winter Gardens, 97 Church St, Blackpool FY1 1HL, UK""}"
2013-07-03 17:00:00,2013-07-03 18:00:00,0,sport,Surrey vs Sussex - Friends Life t20,,The Kia Oval,London,United Kingdom,51.483756,-0.114974,,,Europe/London,"{""place_id"": ""ChIJV5-mhJIEdkgRmHI3O4IrEdU"", ""address"": ""The Kia Oval, Kennington Oval, London SE11 5SS, UK""}"
2013-07-15 16:00:00,2013-07-15 21:00:00,0,sport,Surrey vs Essex - Friends Life t20,,The Kia Oval,London,United Kingdom,51.483756,-0.114974,,,Europe/London,"{""place_id"": ""ChIJV5-mhJIEdkgRmHI3O4IrEdU"", ""address"": ""The Kia Oval, Kennington Oval, London SE11 5SS, UK""}"
2013-12-28 19:30:00,2013-12-28 21:15:00,0,show,Slava's Snowshow,,Royal Festival Hall,London,United Kingdom,51.506300,-0.115700,,,Europe/London,"{""address"": ""Royal Festival Hall, Southbank Centre, Belvedere Rd, London SE1 8XX, UK"", ""venue"": ""Southbank Centre"", ""seat"": ""Rear Stalls, HH, 22"", ""price"": ""£18.75"", ""order_no"": ""17187933""}"
2013-12-29 18:00:00,2013-12-29 20:00:00,0,comedy,Fascinating Aida: Charm Offensive,,Queen Elizabeth Hall,London,United Kingdom,51.505800,-0.116000,,,Europe/London,"{""address"": ""Queen Elizabeth Hall, Southbank Centre, Belvedere Rd, London SE1 8XX, UK"", ""venue"": ""Southbank Centre"", ""seat"": ""Rear Stalls, NN, 27"", ""price"": ""£15.00"", ""order_no"": ""17189754""}"
2014-01-31 19:30:00,2014-01-31 22:10:00,0,musical,Charlie and the Chocolate Factory,,Theatre Royal Drury Lane,London,United Kingdom,51.512889,-0.120167,,,Europe/London,"{""address"": ""Theatre Royal Drury Lane, Catherine St, London WC2B 5JF, UK""}"
2014-02-21 09:00:00,2014-02-23 17:00:00,0,convention,Blackpool Magic Convention,,Winter Gardens,Blackpool,United Kingdom,53.816654,-3.051653,https://www.blackpoolmagicconvention.com/,,Europe/London,"{""place_id"": ""ChIJxa3ldnBEe0gRicxwQYAABuQ"", ""address"": ""Winter Gardens, 97 Church St, Blackpool FY1 1HL, UK""}"
2014-02-20 14:30:00,2014-02-20 16:00:00,0,show,B - The Underwater Bubble Show,,Blackpool Tower Circus,Blackpool,United Kingdom,53.815813,-3.055432,,,Europe/London,"{""place_id"": ""ChIJSxrowa9Fe0gRaPTiDzdocXc"", ""address"": ""The, Tower Entrance, Promenade, Blackpool FY1 4BJ, UK""}"
2014-06-21 19:00:00,2014-06-21 21:00:00,0,show,Penn & Teller,Penn & Teller,Eventim Apollo,London,United Kingdom,51.490993,-0.22461,,,Europe/London,"{""place_id"": ""ChIJc1Z5dbcPdkgRlKJ-iPJzK_Q"", ""address"": ""Eventim Apollo, 45 Queen Caroline St, London W6 9QH, UK""}"
