occurred_at,flight_number,airline_icao,origin_iata,destination_iata,distance_miles,cabin_class,reason,meta
2006-08-04T17:20,498,LZB,LGW,VAR,1414,economy,,"{""aircraft"":""Boeing 737-300"",""departed_scheduled"":""2006-08-04T17:20"",""arrived_scheduled"":""2006-08-04T22:35""}"
2006-08-12T23:00,2861,BAW,VAR,LGW,1414,economy,,"{""aircraft"":""Boeing 737"",""departed_scheduled"":""2006-08-12T21:15"",""departed_actual"":""2006-08-12T23:00"",""arrived_scheduled"":""2006-08-12T22:50"",""arrived_actual"":""2006-08-13T00:21""}"
2009-04-04T13:31,65,VIR,LGW,MBJ,4703,economy,,"{""aircraft"":""Boeing 747-400"",""dep_terminal"":""S"",""departed_scheduled"":""2009-04-04T12:45"",""departed_actual"":""2009-04-04T13:31"",""arrived_scheduled"":""2009-04-04T16:35"",""arrived_actual"":""2009-04-04T17:14""}"
2009-04-14T19:31,66,VIR,MBJ,LGW,4703,economy,,"{""aircraft"":""Boeing 747-400"",""arr_terminal"":""S"",""departed_scheduled"":""2009-04-14T19:05"",""departed_actual"":""2009-04-14T19:31"",""arrived_scheduled"":""2009-04-15T09:55"",""arrived_actual"":""2009-04-15T10:01""}"
2010-04-04T14:55,5724,TOM,LTN,ACE,1725,economy,,"{""aircraft"":""Boeing 737-800"",""arr_terminal"":""1"",""departed_scheduled"":""2010-04-04T14:55"",""arrived_scheduled"":""2010-04-04T19:15"",""arrived_actual"":""2010-04-04T19:00""}"
2010-04-15T17:00,3512,RYR,ACE,LTN,1725,economy,,"{""departed_scheduled"":""2010-04-15T17:00"",""arrived_scheduled"":""2010-04-15T21:15""}"
2012-08-12T20:05,1027,TCX,ACE,LGW,1684,economy,,"{""aircraft"":""Boeing 757-200"",""dep_terminal"":""1"",""arr_terminal"":""S"",""departed_scheduled"":""2012-08-12T20:05"",""arrived_scheduled"":""2012-08-12T23:55""}"
2012-08-27T14:11,3046,TCX,LGW,ACE,1684,economy,,"{""aircraft"":""Boeing 757-200"",""dep_terminal"":""S"",""arr_terminal"":""1"",""departed_scheduled"":""2012-08-27T14:15"",""departed_actual"":""2012-08-27T14:11"",""arrived_scheduled"":""2012-08-27T18:30""}"
2014-03-30T13:55,96,MON,LTN,SSH,2434,economy,,"{""aircraft"":""Airbus A321"",""departed_scheduled"":""2014-03-30T13:55"",""arrived_scheduled"":""2014-03-30T20:10""}"
2014-04-11T19:03,2396,EZY,SSH,LTN,2434,economy,,"{""aircraft"":""Airbus A320"",""dep_terminal"":""1"",""departed_scheduled"":""2014-04-11T18:10"",""departed_actual"":""2014-04-11T19:03"",""arrived_scheduled"":""2014-04-11T22:50""}"
