occurred_at,vehicle_id,litres,cost,fuel_card_cost,price_per_litre,odometer
"2018-10-19 23:00:00",hn14wxp,32.133,41.13,,1.28,26557
"2018-11-18 00:00:00",hn14wxp,31.008,40,,1.29,26924
"2018-11-28 00:00:00",hn14wxp,32.134,38.24,,1.19,27290
"2018-12-08 00:00:00",hn14wxp,28.908,34.4,,1.19,27622
"2018-12-28 00:00:00",hn14wxp,31.306,37.88,,1.21,27944
"2019-01-13 00:00:00",hn14wxp,30.779,37.55,,1.22,28306
"2019-02-05 00:00:00",hn14wxp,31.786,37.19,,1.17,28626
"2019-02-22 00:00:00",hn14wxp,32.375,38.85,,1.2,28968
"2019-03-07 00:00:00",hn14wxp,32.713,39.91,,1.22,29326
"2019-03-21 00:00:00",hn14wxp,32.067,38.48,,1.2,29689
"2019-04-09 23:00:00",hn14wxp,25.847,32.05,,1.24,30076
"2019-04-25 23:00:00",hn14wxp,31.485,40.93,,1.3,30393
"2019-05-08 23:00:00",hn14wxp,32.984,42.22,,1.28,30793
"2019-05-24 23:00:00",hn14wxp,32.455,43.49,,1.34,31205
"2019-06-05 23:00:00",hn14wxp,33.195,42.49,,1.28,31636
"2019-06-28 23:00:00",hn14wxp,30.873,38.9,,1.26,32023
"2019-07-28 23:00:00",hn14wxp,32.178,41.51,,1.29,32421
"2019-09-02 23:00:00",hn14wxp,31.14,40.17,,1.29,32807
"2019-09-20 23:00:00",hn14wxp,31.477,41.55,,1.32,33174
"2019-10-08 23:00:00",hn14wxp,31.984,40.94,,1.28,33554
"2019-10-24 23:00:00",hn14wxp,32.087,40.43,,1.26,33938
"2019-11-24 00:00:00",hn14wxp,31.79,39.42,,1.24,34314
"2019-12-12 00:00:00",hn14wxp,32.397,40.82,,1.26,34684
"2019-12-14 00:00:00",hn14wxp,31.734,40.62,,1.28,35051
"2020-01-17 00:00:00",hn14wxp,31.476,39.03,,1.24,35410
"2020-01-29 00:00:00",hn14wxp,31.969,41.56,,1.3,35757
"2020-02-18 00:00:00",hn14wxp,31.75,38.1,,1.2,36114
"2020-03-01 00:00:00",hn14wxp,32.992,41.24,,1.25,36482
"2020-07-03 23:00:00",hn14wxp,30.474,34.74,,1.14,36810
"2020-08-29 23:00:00",hn14wxp,33.147,38.45,,1.16,37157
"2020-10-07 23:00:00",hn14wxp,31.776,36.86,,1.16,37516
"2020-11-28 00:00:00",hn14wxp,31.626,33.84,,1.07,37855
"2021-01-06 00:00:00",hn14wxp,30.295,33.93,,1.12,38199
"2021-04-03 23:00:00",hn14wxp,31.207,46.81,,1.5,38549
"2021-04-23 23:00:00",hn14wxp,30.295,39.08,,1.29,38910
"2021-05-08 23:00:00",hn14wxp,32.202,41.54,,1.29,39303
"2021-05-25 23:00:00",hn14wxp,34.127,45.73,,1.34,39705
"2021-06-13 23:00:00",hn14wxp,33.258,42.57,,1.28,40132
"2021-06-26 23:00:00",hn14wxp,21.053,28,,1.33,40491
"2021-07-20 23:00:00",hn14wxp,28.145,36.87,,1.31,40746
"2021-07-29 23:00:00",hn14wxp,30.058,41.18,,1.37,41109
"2021-08-14 23:00:00",hn14wxp,26.642,35.7,,1.34,41427
"2021-08-26 23:00:00",hn14wxp,31.909,42.12,,1.32,41807
"2021-09-12 23:00:00",hn14wxp,31.645,43.67,,1.38,42202
"2021-10-04 23:00:00",hn14wxp,25.362,35,,1.38,42535
"2021-10-12 23:00:00",hn14wxp,31.55,44.17,,1.4,42881
"2021-11-10 00:00:00",hn14wxp,32.597,48.57,,1.49,43262
"2021-11-30 00:00:00",hn14wxp,31.122,46.06,,1.48,43641
"2021-12-19 00:00:00",hn14wxp,32.432,48,,1.48,44020
"2022-01-17 00:00:00",hn14wxp,33.714,49.56,,1.47,44380
"2022-02-01 00:00:00",hn14wxp,33.248,48.21,,1.45,44738
"2022-02-15 00:00:00",hn14wxp,31.711,47.25,,1.49,45110
"2022-03-18 00:00:00",hn14wxp,25.325,42.04,,1.66,45387
"2022-03-26 00:00:00",hn14wxp,27.704,44.05,,1.59,45692
"2022-04-06 23:00:00",hn14wxp,32.221,52.52,,1.63,46042
"2022-04-12 23:00:00",hn14wxp,32.679,52.94,,1.62,46436
"2022-05-01 23:00:00",hn14wxp,33.356,53.37,,1.6,46808
"2022-05-26 19:20:11",hn14wxp,29.167,50.43,,1.729,47181
"2022-06-07 15:52:23",hn14wxp,33.291,59.89,,1.799,47569
"2022-06-19 14:14:39",hn14wxp,32.07,60.9,,1.899,47965
"2022-07-12 14:59:58",hn14wxp,32.193,60.49,,1.879,48345
"2022-08-24 17:03:10",hn14wxp,29.827,50.08,,1.679,48705
"2022-09-10 10:59:55",hn14wxp,34.591,58.77,,1.699,49099
"2022-10-29 21:46:14",hn14wxp,33.431,56.13,,1.679,49526
"2022-11-16 15:15:59",hn14wxp,32.65,52.86,,1.619,49881
"2022-12-23 19:17:51",hn14wxp,33.509,50.9,,1.519,50223
"2023-02-20 14:31:10",hn14wxp,31.592,47.04,,1.489,50565
"2023-03-11 14:54:21",hn14wxp,33.387,49.38,,1.479,50908
"2023-03-29 11:22:30",hn14wxp,33.273,47.88,,1.439,51286
"2023-04-18 13:50:12",hn14wxp,30.757,44.26,,1.439,51653
"2023-04-27 16:03:56",hn14wxp,32.447,47.34,,1.459,52012
"2023-05-14 10:06:13",hn14wxp,32.402,46.95,,1.449,52395
"2023-06-02 15:54:41",hn14wxp,30.993,41.81,,1.349,52747
"2023-06-17 18:39:52",hn14wxp,33.169,47.73,,1.439,53155
"2023-07-06 08:55:10",hn14wxp,33.247,48.84,,1.469,53552
"2023-07-28 19:14:45",hn14wxp,34.112,49.77,,1.459,53945
"2023-08-23 12:02:00",hn14wxp,35.323,50.83,,1.439,54336
"2023-08-31 09:32:00",hn14wxp,33.903,51.16,,1.509,54768
"2023-09-21 12:00:00",hn14wxp,35.794,59.74,,1.669,55141
"2023-10-19 19:30:00",hn14wxp,32.87,49.93,,1.519,55515
"2023-11-05 23:07:00",hn14wxp,33.322,50.95,,1.529,55901
"2023-11-28 21:08:00",hn14wxp,31.623,46.77,,1.479,56236
"2023-12-21 15:28:00",hn14wxp,32.309,45.2,,1.399,56567
"2024-01-25 22:34:00",hn14wxp,31.078,44.1,41.33,1.419,56875
"2024-02-13 22:43:00",hn14wxp,32.64,45.01,44.28,1.379,57204
"2024-02-25 11:45:00",hn14wxp,32.391,46.61,,1.439,57575
"2024-03-21 06:22:00",hn14wxp,32.623,50.86,45.46,1.559,57932
"2024-04-18 09:06:00",hn14wxp,32.59,49.83,47.33,1.529,58307
"2024-05-14 08:03:00",hn14wxp,33.048,57.47,,1.739,58691
"2024-06-05 23:05:00",hn14wxp,32.763,46.49,45.6,1.419,59073
"2024-06-27 06:38:00",hn14wxp,33.009,50.47,45.55,1.529,59452
"2024-07-19 10:24:00",hn14wxp,32.907,48.67,45.88,1.479,59829
"2024-08-14 23:07:00",hn14wxp,32.283,45.81,43.31,1.419,60222
"2024-09-05 05:52:00",hn14wxp,33.201,48.44,43.1,1.459,60591
"2024-09-19 13:22:00",hn14wxp,32.023,44.8,39.89,1.399,60990
"2024-10-03 05:46:00",hn14wxp,32.789,44.56,40.94,1.359,61389
"2024-10-28 07:54:00",hn14wxp,32.723,45.78,42.13,1.399,61750
"2024-11-14 05:44:00",hn14wxp,33.031,46.21,,1.399,62109
"2024-12-05 09:10:00",hn14wxp,32.38,45.3,41.36,1.399,62444
"2024-12-30 10:49:00",hn14wxp,33.071,52.88,42.7,1.599,62788
"2025-01-22 23:23:00",hn14wxp,32.87,44.67,43.86,1.359,63140
"2025-02-09 12:51:00",hn14wxp,32.623,45.64,,1.399,63470
"2025-02-28 16:57:00",hn14wxp,33.263,47.2,,1.419,63816
"2025-03-27 05:46:00",hn14wxp,33.108,46.98,42.04,1.419,64147
"2025-04-23 16:46:00",hn14wxp,33.96,47.51,42.68,1.399,64501
"2025-05-19 16:11:00",hn14wxp,33.053,45.25,41.8,1.369,64866
"2025-06-19 21:46:00",hn14wxp,32.199,44.08,40.78,1.369,65255
"2025-07-20 16:27:00",hn14wxp,32.367,44.31,41.17,1.369,65632
"2025-08-17 19:37:00",hn14wxp,32.801,45.56,,1.389,65996
"2025-09-10 17:25:00",hn14wxp,33.157,45.06,42.59,1.359,66355
"2025-10-01 19:14:00",hn14wxp,32.199,42.47,41.46,1.319,66723
"2025-10-26 16:45:00",hn14wxp,31.958,44.07,41.47,1.379,67046
"2025-11-19 23:13:00",hn14wxp,32.759,45.83,42.92,1.399,67404
"2025-12-07 09:07:00",hn14wxp,32.213,44.1,,1.369,67774
"2025-12-19 14:18:00",hn14wxp,31.372,43.89,39.00,1.399,68131
"2026-01-09 11:59:00",hn14wxp,33.223,45.15,40.64,1.359,68509
"2026-01-31 12:38:44",hn14wxp,33.141,43.05,40.73,1.299,68868
"2026-02-09 22:53:00",hn14wxp,32.733,43.83,40.64,1.339,69246
"2026-02-28 21:27:00",hn14wxp,32.127,43.66,40.36,1.359,69612
"2026-03-28 16:17:00",hn14wxp,30.923,47.9,,1.549,69964
