occurred_at,status,title,show,author,published,duration,played_up_to,starred,url,podcast_uuid,episode_uuid
"2018-08-30 21:16:56",played,,,,,,831,,,,20bb9158-da91-46fb-82a5-f7b43a2525a9
"2018-09-10 19:20:48",played,,,,,,2023,,,,c689e00c-190a-4985-893c-19ffe9b9581c
"2019-03-23 19:12:36",played,,,,,,2993,,,,5822ba65-c546-462d-8f85-f7abcadb4a8b
"2019-03-23 19:12:36",in-progress,,,,,,1448,,,,fa00a73a-cbac-4b63-a63e-72463ccf0390
"2019-03-23 19:12:36",in-progress,"No Such Thing As A Seven Foot Bond","No Such Thing As A Fish","No Such Thing As A Fish","2018-08-31 18:00:00",2099,666,,https://pdst.fm/e/arttrk.com/p/ABMA5/pscrb.fm/rss/p/prfx.byspotify.com/e/dts.podtrac.com/redirect.mp3/audioboom.com/posts/6990798.mp3?modified=1751549367&sid=2399216&source=rss,e00f3310-8e81-0131-8b7c-723c91aeae46,7a103d3d-725d-44a1-8651-8320ae3625af
"2019-03-23 19:12:36",played,"No Such Thing As A 24-Minute Podcast","No Such Thing As A Fish","No Such Thing As A Fish","2018-08-24 18:00:00",1629,0,,https://pdst.fm/e/arttrk.com/p/ABMA5/pscrb.fm/rss/p/prfx.byspotify.com/e/dts.podtrac.com/redirect.mp3/audioboom.com/posts/6983148.mp3?modified=1751549926&sid=2399216&source=rss,e00f3310-8e81-0131-8b7c-723c91aeae46,d64f1e1b-0d61-434b-9b9a-ba172405f71d
"2019-04-30 19:41:47",in-progress,,,,,,0,,,,e401565f-1fb6-48fc-b4ad-e9775f4b4d5f
"2019-04-30 19:41:47",in-progress,,,,,311,44,,,,25face21-505c-436f-b2b0-08f92b943408
"2019-04-30 19:41:47",in-progress,,,,,648,261,,,,502de9b1-6c68-49f6-a42b-7da3d6d9f872
"2019-04-30 19:41:47",in-progress,,,,,3779,1407,,,,30a79205-fd31-407c-a647-b60d6d320f32
"2019-04-30 19:41:47",in-progress,,,,,4622,159,,,,bbcb9f4f-bcf8-4b6d-b3f8-7d0afe756ef4
"2019-04-30 19:41:47",in-progress,"No Such Thing As A Man In A Wine Bottle","No Such Thing As A Fish","No Such Thing As A Fish","2019-03-29 15:59:25",2251,406,,https://pdst.fm/e/arttrk.com/p/ABMA5/pscrb.fm/rss/p/prfx.byspotify.com/e/dts.podtrac.com/redirect.mp3/audioboom.com/posts/7217172.mp3?modified=1751530718&sid=2399216&source=rss,e00f3310-8e81-0131-8b7c-723c91aeae46,cb372071-5aca-4e5f-8a1d-3d118347037b
"2019-04-30 19:41:47",in-progress,"No Such Thing As A Giant War Sausage","No Such Thing As A Fish","No Such Thing As A Fish","2019-03-15 16:00:00",2046,1731,,https://pdst.fm/e/arttrk.com/p/ABMA5/pscrb.fm/rss/p/prfx.byspotify.com/e/dts.podtrac.com/redirect.mp3/audioboom.com/posts/7203524.mp3?modified=1751531977&sid=2399216&source=rss,e00f3310-8e81-0131-8b7c-723c91aeae46,d8db03a6-74ef-488a-8cb0-0935cb3c0ab1
"2019-06-10 11:35:19",played,"No Such Thing As Mission Impossible For Slugs","No Such Thing As A Fish","No Such Thing As A Fish","2019-05-03 16:00:00",2194,2374,,https://pdst.fm/e/arttrk.com/p/ABMA5/pscrb.fm/rss/p/prfx.byspotify.com/e/dts.podtrac.com/redirect.mp3/audioboom.com/posts/7250830.mp3?modified=1751527718&sid=2399216&source=rss,e00f3310-8e81-0131-8b7c-723c91aeae46,80a5b99e-7ee0-4cec-a567-08786d951e4a
"2019-09-11 23:31:47",played,,,,,2087,2087,,,,4fa1fcd9-ba6c-4a54-aa1d-fea475d382eb
